Image,Caption
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,The large brown dog is chasing after the little brown dog .
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A dog running with a blue toy in its mouth .
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,Two dogs run down a dirt path in the forest .
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,"The guy in the blue and white jersey is running , and the guy in the red and white jersey is falling ."
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,"A dog in a grassy field , looking up ."
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,A dog fetches a ball in a field .
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,A group of five adults stand posing in front of buildings .
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,A group of five adults stand posing in front of buildings .
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,People are standing around a scenic lookout on a sunny day .
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,A woman holds a fat baby with sunglasses and a denim hat .
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A woman with holding a young girl playing with bubbles at a picnic .
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,Little girl playing on a scooter in her house .
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A woman next to a dog which is running an obstacle course .
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A child in Hawaiian clothing jumps and poses in a low cut yard nearby a fence and building .
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,A woman holding a black leash and a man looking down .
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,Two black dogs run through sand .
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,A person riding a snowboard jumps high over the snowy hill .
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,People are watching a snowboarder perform a trick in the air .
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,An airborne dog on a leash with a woman .
http://134.100.15.200/flickr8k/Images/1287475186_2dee85f1a5.jpg,Two black dogs are dog paddling in a sparkling blue pool .
http://134.100.15.200/flickr8k/Images/1287475186_2dee85f1a5.jpg,A swimmer is doing the backstroke in the swimming pool .
http://134.100.15.200/flickr8k/Images/1298295313_db1f4c6522.jpg,Boys in life jackets on a watercraft .
http://134.100.15.200/flickr8k/Images/1298295313_db1f4c6522.jpg,a boy jumps into the blue pool water .
http://134.100.15.200/flickr8k/Images/1298295313_db1f4c6522.jpg,A surfer rides a wave in a clear blue ocean .
http://134.100.15.200/flickr8k/Images/1298295313_db1f4c6522.jpg,A boy is about to jump into the water .
http://134.100.15.200/flickr8k/Images/1311388430_4ab0cd1a1f.jpg,A snowboarder jumps high in the air over a snowy hill .
http://134.100.15.200/flickr8k/Images/1311388430_4ab0cd1a1f.jpg,Person snowboarding at a ski slope .
http://134.100.15.200/flickr8k/Images/1311388430_4ab0cd1a1f.jpg,A person is in the air while riding his bicycle on top of the train on a clear blue sky day .
http://134.100.15.200/flickr8k/Images/1311388430_4ab0cd1a1f.jpg,A snowboarder in the air over a snowy mountain .
http://134.100.15.200/flickr8k/Images/1322323208_c7ecb742c6.jpg,"Two children , one of which is holding a stick , are standing on the beach as the sun begins to set ."
http://134.100.15.200/flickr8k/Images/1322323208_c7ecb742c6.jpg,A person on the beach beside the ocean at sunset .
http://134.100.15.200/flickr8k/Images/1322323208_c7ecb742c6.jpg,Two people walking along the beach at sunset towarn a group of people .
http://134.100.15.200/flickr8k/Images/1322323208_c7ecb742c6.jpg,A small girl is sitting on the cement dropping some chalk
http://134.100.15.200/flickr8k/Images/1322323208_c7ecb742c6.jpg,a dog on the beach .
http://134.100.15.200/flickr8k/Images/132489044_3be606baf7.jpg,A man in a striped shirt is demonstrating a product .
http://134.100.15.200/flickr8k/Images/132489044_3be606baf7.jpg,A man and woman look back at the camera while standing in front of a red art structure .
http://134.100.15.200/flickr8k/Images/1329832826_432538d331.jpg,A person is hanging upside down from power lines .
http://134.100.15.200/flickr8k/Images/1329832826_432538d331.jpg,A crowd of people at an outdoor event
http://134.100.15.200/flickr8k/Images/1329832826_432538d331.jpg,An officer stands next to a car on a city street .
http://134.100.15.200/flickr8k/Images/1332722096_1e3de8ae70.jpg,People waiting to cross the street in front of a pharmacy with lit up sign .
http://134.100.15.200/flickr8k/Images/1332722096_1e3de8ae70.jpg,"A woman crosses the street near a man , who is on his cellphone ."
http://134.100.15.200/flickr8k/Images/1332722096_1e3de8ae70.jpg,A woman is doing a backwards flip in front of a crowd of other people sitting on the sidewalk .
http://134.100.15.200/flickr8k/Images/1339596997_8ac29c1841.jpg,A young girl jumping over a railing or a ladder on its side .
http://134.100.15.200/flickr8k/Images/1339596997_8ac29c1841.jpg,A crowd of people at an outdoor event
http://134.100.15.200/flickr8k/Images/1339596997_8ac29c1841.jpg,A woman next to a dog which is running an obstacle course .
http://134.100.15.200/flickr8k/Images/1339596997_8ac29c1841.jpg,a middle aged man is standing next to a white wall underneath some catholic theme pictures .
http://134.100.15.200/flickr8k/Images/1339596997_8ac29c1841.jpg,A woman writing while standing by men .
http://134.100.15.200/flickr8k/Images/1339596997_8ac29c1841.jpg,A group of children gather around a white dog on the grass outside .
http://134.100.15.200/flickr8k/Images/1343426964_cde3fb54e8.jpg,Two redheaded boys in brown shirts stand on a table and are fighting with sticks .
http://134.100.15.200/flickr8k/Images/1343426964_cde3fb54e8.jpg,"A woman in a red coat is smiling , while people in the background are walking around in winter clothing ."
http://134.100.15.200/flickr8k/Images/1343426964_cde3fb54e8.jpg,A young boy jumps around on a blue mat with a half-smile on his face .
http://134.100.15.200/flickr8k/Images/1343426964_cde3fb54e8.jpg,A person wearing a red jacket and helmet walks up near the large rock .
http://134.100.15.200/flickr8k/Images/1343426964_cde3fb54e8.jpg,Two children kneeling down with pirate hats on
http://134.100.15.200/flickr8k/Images/1348304997_afe60a61df.jpg,A little boy slides down a bright red corkscrew slide .
http://134.100.15.200/flickr8k/Images/1348304997_afe60a61df.jpg,A little boy is leaping in the air onto a water slide .
http://134.100.15.200/flickr8k/Images/1348304997_afe60a61df.jpg,A kid in a blue top leaps into a raked pile of leaves in front of trees .
http://134.100.15.200/flickr8k/Images/1348304997_afe60a61df.jpg,A brown dog hops over a fallen tree branch .
http://134.100.15.200/flickr8k/Images/1352410176_af6b139734.jpg,A man kneels in the wet sand at a beach near a dog .
http://134.100.15.200/flickr8k/Images/1352410176_af6b139734.jpg,A man in a brown sweater and a woman smile for their video camera .
http://134.100.15.200/flickr8k/Images/1352410176_af6b139734.jpg,A dog is running along the beach beside the ocean .
http://134.100.15.200/flickr8k/Images/1352410176_af6b139734.jpg,a dog on the beach .
http://134.100.15.200/flickr8k/Images/1356796100_b265479721.jpg,A toddler girl in a swing is laughing .
http://134.100.15.200/flickr8k/Images/136552115_6dc3e7231c.jpg,A grey dog walks on top of a fallen tree in the woods .
http://134.100.15.200/flickr8k/Images/136552115_6dc3e7231c.jpg,A black dog jumping off a river bank near a wooded area .
http://134.100.15.200/flickr8k/Images/136552115_6dc3e7231c.jpg,A man riding a brown horse poses in front of a mountain scene .
http://134.100.15.200/flickr8k/Images/136552115_6dc3e7231c.jpg,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier .
http://134.100.15.200/flickr8k/Images/136644343_0e2b423829.jpg,"A boy smiling , leaning over a wagon filled with two large pumpkins ."
http://134.100.15.200/flickr8k/Images/136644343_0e2b423829.jpg,A little boy in navy blue is running very fast .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,Several people on top of a mountain look down at the ground .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,A group of people are sitting on the porch of a brick building .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,A man wearing red shorts is holding onto the rocks beside the water .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,A man scales a rock in the forest .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,A person swimming in water nearby rocks and a small waterfall .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,A person is standing on jagged rocks above the water below .
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,person rock climbing
http://134.100.15.200/flickr8k/Images/136886677_6026c622eb.jpg,Two people climb a rock overhanging water .
http://134.100.15.200/flickr8k/Images/1386964743_9e80d96b05.jpg,"A white dog runs along a path , trailing a leash ."
http://134.100.15.200/flickr8k/Images/1386964743_9e80d96b05.jpg,"A dog in a grassy field , looking up ."
http://134.100.15.200/flickr8k/Images/1386964743_9e80d96b05.jpg,"A picture of Albert Einstein on a white bear statue , with a little boy standing under the bear statue 's face ."
http://134.100.15.200/flickr8k/Images/1386964743_9e80d96b05.jpg,Two dogs run down a dirt path in the forest .
http://134.100.15.200/flickr8k/Images/1387785218_cee67735f5.jpg,Two girls and a woman walking on the sidewalk
http://134.100.15.200/flickr8k/Images/1387785218_cee67735f5.jpg,A blonde girl surfing down a sandy hill
http://134.100.15.200/flickr8k/Images/1389264266_8170bc1c54.jpg,A woman in a red shirt with her arm raised .
http://134.100.15.200/flickr8k/Images/1389264266_8170bc1c54.jpg,A girl in a black outfit with a red sash and a black headband has one hand on her waist and one extended straight out .
http://134.100.15.200/flickr8k/Images/1389264266_8170bc1c54.jpg,"A man and a woman walking down a street , carrying luggage ."
http://134.100.15.200/flickr8k/Images/1392272228_cf104086e6.jpg,Three dogs running through water .
http://134.100.15.200/flickr8k/Images/1392272228_cf104086e6.jpg,A black dog on a beach carrying a ball in its mouth .
http://134.100.15.200/flickr8k/Images/1392272228_cf104086e6.jpg,A white dog is running through the water onto the shore .
http://134.100.15.200/flickr8k/Images/1392272228_cf104086e6.jpg,A dog wading in the water with a ball in his mouth
http://134.100.15.200/flickr8k/Images/1392272228_cf104086e6.jpg,A black dog walking along a rocky terrain .
http://134.100.15.200/flickr8k/Images/1394368714_3bc7c19969.jpg,A homeless man stands with a sign next to orange construction cones .
http://134.100.15.200/flickr8k/Images/1394368714_3bc7c19969.jpg,Three dogs running on a racing track .
http://134.100.15.200/flickr8k/Images/1394368714_3bc7c19969.jpg,People at park sitting on benches and a woman taking care of her child in the stroller .
http://134.100.15.200/flickr8k/Images/1394368714_3bc7c19969.jpg,A woman holding a camera .
http://134.100.15.200/flickr8k/Images/1394368714_3bc7c19969.jpg,"A man in a blue t-shirt holds a camera ,"
http://134.100.15.200/flickr8k/Images/1394368714_3bc7c19969.jpg,"The legs and feet of people sitting on a wooden table , two cameras and cigarettes on it ."
http://134.100.15.200/flickr8k/Images/1402640441_81978e32a9.jpg,boy and girl make a sand castle
http://134.100.15.200/flickr8k/Images/1402640441_81978e32a9.jpg,A girl with a bucket of water is being chased by a boy with a bucket of water .
http://134.100.15.200/flickr8k/Images/1402640441_81978e32a9.jpg,A boy plays in the sand .
http://134.100.15.200/flickr8k/Images/1404832008_68e432665b.jpg,A blueish green car on a dirt road splashing water on the left .
http://134.100.15.200/flickr8k/Images/1404832008_68e432665b.jpg,Man falling off a blue surfboard in the ocean .
http://134.100.15.200/flickr8k/Images/1404832008_68e432665b.jpg,A person swimming in water nearby rocks and a small waterfall .
http://134.100.15.200/flickr8k/Images/1404832008_68e432665b.jpg,Two people having a picnic by the shore .
http://134.100.15.200/flickr8k/Images/1404832008_68e432665b.jpg,A tan dog jumps into water .
http://134.100.15.200/flickr8k/Images/1408958345_68eea9a4e4.jpg,A person walks along the beach and leaves footprints in the sand .
http://134.100.15.200/flickr8k/Images/1408958345_68eea9a4e4.jpg,A dog is running along the beach beside the ocean .
http://134.100.15.200/flickr8k/Images/1408958345_68eea9a4e4.jpg,Two kids playing on a pebble beach by the water
http://134.100.15.200/flickr8k/Images/1408958345_68eea9a4e4.jpg,a dog on the beach .
http://134.100.15.200/flickr8k/Images/1408958345_68eea9a4e4.jpg,A boy is on the beach with a paddle in his hand as he walks through the ocean water .
http://134.100.15.200/flickr8k/Images/1408958345_68eea9a4e4.jpg,A young girl holding a boogie board at the beach
http://134.100.15.200/flickr8k/Images/1415591512_a84644750c.jpg,A multicolor dog in a red collar crouching on the grass .
http://134.100.15.200/flickr8k/Images/1417031097_ab656bc4bd.jpg,a person is sliding down a brick rail on a snowboard .
http://134.100.15.200/flickr8k/Images/1417031097_ab656bc4bd.jpg,"Four people holding each others shoulders with a brown dog in front of them , standing on snow ."
http://134.100.15.200/flickr8k/Images/1425069308_488e5fcf9d.jpg,A white dog jumps to catch a blue ball in a living room .
http://134.100.15.200/flickr8k/Images/1425069308_488e5fcf9d.jpg,A white puppy is running on a tiled floor .
http://134.100.15.200/flickr8k/Images/1425069308_488e5fcf9d.jpg,Large dog plays with two smaller dogs on grass .
http://134.100.15.200/flickr8k/Images/1425069308_488e5fcf9d.jpg,A black dog and a white dog play in the street together .
http://134.100.15.200/flickr8k/Images/1427391496_ea512cbe7f.jpg,A black dog jumping off of a dock .
http://134.100.15.200/flickr8k/Images/1427391496_ea512cbe7f.jpg,The Asian girl wearing a pink and black striped top is walking next to the girl in the grey top .
http://134.100.15.200/flickr8k/Images/1427391496_ea512cbe7f.jpg,A dog standing on a beach .
http://134.100.15.200/flickr8k/Images/1432179046_8e3d75cf81.jpg,A person on the beach beside the ocean at sunset .
http://134.100.15.200/flickr8k/Images/1432179046_8e3d75cf81.jpg,A man wearing an orange cap sits on a white bench beside a blue trashcan .
http://134.100.15.200/flickr8k/Images/1432179046_8e3d75cf81.jpg,A person sits on a red bench to eat while another watches .
http://134.100.15.200/flickr8k/Images/1432179046_8e3d75cf81.jpg,two men sit on a chairlift .
http://134.100.15.200/flickr8k/Images/1433142189_cda8652603.jpg,A person is in the air while riding his bicycle on top of the train on a clear blue sky day .
http://134.100.15.200/flickr8k/Images/1433142189_cda8652603.jpg,A mountain biker is racing through a shaded trail .
http://134.100.15.200/flickr8k/Images/1433142189_cda8652603.jpg,A person is hiking to the top of a hill .
http://134.100.15.200/flickr8k/Images/1433142189_cda8652603.jpg,A person descends a rope from a cliff into the ocean .
http://134.100.15.200/flickr8k/Images/143688283_a96ded20f1.jpg,A grey dog walks on top of a fallen tree in the woods .
http://134.100.15.200/flickr8k/Images/143688283_a96ded20f1.jpg,A little boy in a striped shirt is standing behind a tree .
http://134.100.15.200/flickr8k/Images/143688283_a96ded20f1.jpg,A man in a white uniform jumps while holding a basketball as another in blue blocks him .
http://134.100.15.200/flickr8k/Images/143688283_a96ded20f1.jpg,A man scales a rock in the forest .
http://134.100.15.200/flickr8k/Images/143688283_a96ded20f1.jpg,girl posing on tree
http://134.100.15.200/flickr8k/Images/1446053356_a924b4893f.jpg,Two girls in soccer strips are playing on a sports field .
http://134.100.15.200/flickr8k/Images/1446053356_a924b4893f.jpg,A woman riding a bike in a park
http://134.100.15.200/flickr8k/Images/1456393634_74022d9056.jpg,A person walks along the beach and leaves footprints in the sand .
http://134.100.15.200/flickr8k/Images/1456393634_74022d9056.jpg,A brown dog leaps into the air next to a black dog on a sandy bay .
http://134.100.15.200/flickr8k/Images/1456393634_74022d9056.jpg,A dog is running along the beach beside the ocean .
http://134.100.15.200/flickr8k/Images/1456393634_74022d9056.jpg,a large dog runs on the beach with something hanging out of its mouth .
http://134.100.15.200/flickr8k/Images/1456393634_74022d9056.jpg,a dog on the beach .
http://134.100.15.200/flickr8k/Images/1461667284_041c8a2475.jpg,A group of people walking a city street in warm weather .
http://134.100.15.200/flickr8k/Images/1461667284_041c8a2475.jpg,A crowd of people at an outdoor event
http://134.100.15.200/flickr8k/Images/1461667284_041c8a2475.jpg,Two women crossing the street on a cold day
http://134.100.15.200/flickr8k/Images/1461667284_041c8a2475.jpg,Two people on a motorcycle .
http://134.100.15.200/flickr8k/Images/1461667284_041c8a2475.jpg,Two people stop on an empty city street .
http://134.100.15.200/flickr8k/Images/1467533293_a2656cc000.jpg,"Two little girls , both dressed in pink , play on the jungle gym ."
http://134.100.15.200/flickr8k/Images/1467533293_a2656cc000.jpg,A group of children gather around a white dog on the grass outside .
http://134.100.15.200/flickr8k/Images/1472230829_803818a383.jpg,Rafting boat on river .
http://134.100.15.200/flickr8k/Images/1472230829_803818a383.jpg,A person swimming in water nearby rocks and a small waterfall .
http://134.100.15.200/flickr8k/Images/1472882567_33dc14c8b6.jpg,Snowboarders sitting in the snow while skiers take the hill .
http://134.100.15.200/flickr8k/Images/1472882567_33dc14c8b6.jpg,Person snowboarding at a ski slope .
http://134.100.15.200/flickr8k/Images/1472882567_33dc14c8b6.jpg,A person riding a snowboard jumps high over the snowy hill .
http://134.100.15.200/flickr8k/Images/1472882567_33dc14c8b6.jpg,a skier is throwing up snow as he skis off piste .
http://134.100.15.200/flickr8k/Images/1490213660_9ea45550cf.jpg,a brown and black dog swimming in a river
http://134.100.15.200/flickr8k/Images/1490213660_9ea45550cf.jpg,"Two dogs , identical white with brown spots wrestle on jet black sand ."
http://134.100.15.200/flickr8k/Images/1490213660_9ea45550cf.jpg,A large white bird flying over water .
http://134.100.15.200/flickr8k/Images/1490213660_9ea45550cf.jpg,A white birds lands swiftly in the water .
http://134.100.15.200/flickr8k/Images/1490213660_9ea45550cf.jpg,a grey dog swimming through a river with a stick in his mouth
http://134.100.15.200/flickr8k/Images/1490670858_e122df2560.jpg,A homeless man stands with a sign next to orange construction cones .
http://134.100.15.200/flickr8k/Images/1490670858_e122df2560.jpg,A girl is wear a green dress .
http://134.100.15.200/flickr8k/Images/1490670858_e122df2560.jpg,Two people sit on a large rock near a city street .
http://134.100.15.200/flickr8k/Images/1499581619_a5f65a882c.jpg,People walking down a sidewalk on a beach .
http://134.100.15.200/flickr8k/Images/1499581619_a5f65a882c.jpg,A black dog on a beach carrying a ball in its mouth .
http://134.100.15.200/flickr8k/Images/1499581619_a5f65a882c.jpg,"A woman in a red coat is smiling , while people in the background are walking around in winter clothing ."
http://134.100.15.200/flickr8k/Images/1499581619_a5f65a882c.jpg,A woman is wearing a blue headscarf and a blue sweater .
http://134.100.15.200/flickr8k/Images/1499581619_a5f65a882c.jpg,A woman walks along a boardwalk
http://134.100.15.200/flickr8k/Images/150387174_24825cf871.jpg,A man is riding a dirt bike over some rocks .
http://134.100.15.200/flickr8k/Images/150387174_24825cf871.jpg,A rock climber climbs in between two very large rocks .
http://134.100.15.200/flickr8k/Images/150387174_24825cf871.jpg,A man in red pushes his motocross bike up a rock .
http://134.100.15.200/flickr8k/Images/150387174_24825cf871.jpg,A motocross bike is being ridden over rocks .
http://134.100.15.200/flickr8k/Images/150387174_24825cf871.jpg,Five young men pose on the steps .
http://134.100.15.200/flickr8k/Images/1509786421_f03158adfc.jpg,Two men and a woman smile at the camera .
http://134.100.15.200/flickr8k/Images/1509786421_f03158adfc.jpg,"A man , woman and one girl face the camera , while one girl faces away ."
http://134.100.15.200/flickr8k/Images/1517721825_10176d0683.jpg,Three dogs running through water .
http://134.100.15.200/flickr8k/Images/1517721825_10176d0683.jpg,A dog splashes through the water .
http://134.100.15.200/flickr8k/Images/1517721825_10176d0683.jpg,A white dog is running through the water onto the shore .
http://134.100.15.200/flickr8k/Images/1517721825_10176d0683.jpg,A man wakeboards on choppy water .
http://134.100.15.200/flickr8k/Images/1523984678_edd68464da.jpg,A small dogs ears stick up as it runs in the grass .
http://134.100.15.200/flickr8k/Images/1523984678_edd68464da.jpg,Two small dogs run through the grass .
http://134.100.15.200/flickr8k/Images/1523984678_edd68464da.jpg,Two dogs run down a dirt path in the forest .
http://134.100.15.200/flickr8k/Images/1536774449_e16b1b6382.jpg,A sunset sky over rippling water .
http://134.100.15.200/flickr8k/Images/1536774449_e16b1b6382.jpg,Three girls in colorful outfits are dancing under a stage light .
http://134.100.15.200/flickr8k/Images/1547883892_e29b3db42e.jpg,"A smiling boy in an orange shirt with a safari hat sits at the playground , while a boy in a blue shirt looks on ."
http://134.100.15.200/flickr8k/Images/1547883892_e29b3db42e.jpg,A crowd of people stands attentively in a plaza with buildings in the background .
http://134.100.15.200/flickr8k/Images/1547883892_e29b3db42e.jpg,A group of five adults stand posing in front of buildings .
